Descrição do Item,Categoria,Valor,Data
Fofnecimento de energias renováveis para instalações - tarifa simples (Iberdrola) - Cód. R8352,Energia e Utilidades,671.59 €,07/06/2023
Manutenção preventiva mensal de sistemas de segurança - Fatura nº 9561/2024,Serviços de Manutenção,8198.14€,17-06-2023
Serviço de campanha publicitária para Facebook (Período: Set/2024),Serviços de Marketing,3385.22€,28-08-2023
Serviço jurídico de recuperação de créditos - elaboração de acordo (NIF: 9822188634),Serviços Jurídicos,8265.72€,01.01.2023
Serviço de auditoria de sistemas pontual conforme SOX - Cód. C3058,Serviços de Auditoria,7622.66€,24/04/2023
Router Wi-Fi Samsung Max para uso profissional - Ref: C622,Equipamentos Informáticos,8650.43€,11/12/2023
Despesa com transporte de mercadorias - económico (NIF: 5531634827),Despesas de Transporte e Logística,7854.94 €,22.10.2023
Manutenção preditiva semestral de elevadores (Períodp: Nov/2024),Serviços de Manutenção,4776.55€,05/09/2023
Fornecimento de energias renováveis para instalações - tarifa bi-horária (Galp) - Ref: W156,Energia e Utilidades,2784.17€,25-01-2023
Formação em segurança no trabalho para colaboradores - presencial 8 horas (NIF: 5848289674),Formação e Desenvolvimento,2601.98 €,2023-04-12
Manutenção preditiva anual de veículos da empresa - Fatura nº 6921/2024,Serviços de Manutenção,6493.20€,29/10/2023
Fornecimento de energias renováveis para instalações - tarifa simples (Iberdrola) - Cód. N2069,Energia e Utilidades,5789.94€,19-01-2023
projetor em couro skntético azul para escritório - Fatura nº 4596/2024,Mobiliário e Equipamento de Escritório,6966.94€,16/05/2023
Consultoria em gestão de projetos - pontual - Ref: T437,Serviços de Consultoria,8193.87€,2023-05-11
Serviço jurídico de assessoria contratual - elaboração de procuração - Cód. W5104,Serviços Jurídicos,2492.76€,2023-09-25
Despesa com manutenção de frota - económico - Fatura nº 8455/2024,Despesas de Transporte e Logística,8671.14 €,2023-08-13
Serviço de SEO para Facebook - Fatura nº 3361/2024,Serviços de Marketing,8549.10 €,2023-02-08
Serviço de videoconferência empresarial 500 Mbps - MEO - Ref: I747,Telecomunicações,5609.57€,27.03.2023
Manutenção corretiva mensal de ar condicionado - Ref: U752,Serviços de Manutenção,1298.28€,2023-10-15
Fornecimento de eletricidade para instalações - tarifa tri-horária (Iberdrola) - Ref: I642,Energia e Utilidades,993.83€,2023-04-28
Serviço de linha verde empresarial 1 Gbps - NOS (Período: Jun/2024),Telecomunicações,9282.61€,30-06-2023
Contratação de seguro de responsabilidade civil - cobertura básica (Tranquilidade) - Ref: T175,Seguros,9457.03 €,02/06/2023
Formação em segurança no trabalho para colaboradores - online 40 horas (NIF: 5274994573),Formação e Desenvolvimento,8831.74 €,2023-03-17
Contratação de seguro multirriscos - cobertura básica (Ageas) - Cód. N1343,Seguros,9645.54 €,2023-03-29
Fornecimento de caixa de papel A4 para escritório (Período: Jun/2024),Material de Escritório,2690.25 €,24.07.2023
Serviço jurídico de assessoria contratual - elaboração de parecer (Período: Xet/2024),Serviços Jurídicos,3643.42€,01-08-2023
Fornecimento de gás natural para instalaçõew - tarifa simples (EDP) (Período: Jun/2024),Energia e Utilidades,4382.44€,02.04.2023
sistema de videoconferência em vidro cinza para escritório (Período: Jun/2024),Mobiliário e Equipamento de Escritório,6512.62€,27.11.2023
Serviço de auditoria de sistemas anual conforme ISO 14001 - Cód. I3357,Serviços de Auditoria,593.41€,12.12.2023
Serviço de SEO para Google Ads - Fatura nº 9161/2024,Serviços de Marketing,7841.83 €,31/05/2023
Manutenção preditiva anual de sistemas de climatização (Período: Jul/2024),Serviços de Manutenção,8695.54€,2023-11-25
Serviço de produção de vídeo para LinkedIn - Fatura nº 4272/2024,Serviços de Marketing,7247.31€,23-04-2023
Contratação de seguro de cibersegurança - cobertura all-risk (Tranquilidade) - Fatura nº 1950/2024,Seguros,2309.62 €,01/06/2023
Serviço de SEO para YouTube - Fatura nº 9674/2024,Serviços de Marketing,6025.50 €,2023-09-19
Contratação de seguro de crédito - cobertura premium (Ageas) - Ref: L647,Seguros,5684.65€,25.06.2023
Computador HP Elite para uso profissional (Período: Jun/2024),Equipamentos Informáticos,3144.12 €,09-06-2023
quadro branco em metal cinza para escritório (Período: Fev/2024),Mobiliário e Equipamento de Escritório,3393.22€,2023-07-04
mesa de reunião em madeira branco para escritório - Fatura nº 7963/2024,Mobiliário e Equipamento de Escritório,5409.41 €,24-07-2023
Fornecimento de eletricidade para instalações - tarifa tri-horária (Iberdrola) (Período: Mai/2024),Energia e Utilidades,5624.34 €,2023-06-04
Serviço de organização de eventos para TikTok - Ref: M825,Serviços de Marketing,8048.68 €,2023-06-27
Serviço de gestão de redes sociais para Facebook (NIF: 5993812133),Serviços de Marketing,2510.17€,11.06.2023
Contratação de seguro multirriscos - cobertura básica (Allianz) (Período: Jul/2024),Seguros,2607.93€,2023-01-12
Despesa com transporte de mercadorias - nacional - Cód. L8176,Despesas de Transporte e Logística,7788.89 €,16.10.2023
Contratação de seguro de saúde grupal - cobertura básica (Fidelidade) (NIF: 8299070287),Seguros,7269.45 €,04.07.2023
Manutenção corretiva mensal de elevadores (Período: Dez/2024),Serviços de Manutenção,5297.08€,2023-02-04
Computador D-Link Basic para uso profissional - Ref: S435,Equipamentos Informáticos,2946.72€,04.01.2023
Fornecimento de eletricidade para instalações - tarifa simples (EDP) - Ref: L522,Energia e Utilidades,7806.00 €,22.08.2023
Manutenção preventiva mensal de sistemas de segurança (Período: Ago/2024),Serviços de Manutenção,5092.69 €,26/04/2023
Serviço de auditoria ambiental pontual conforme SOX - Cód. E9769,Serviços de Auditoria,9514.97 €,23/06/2023
Consultoria em transformação digital - contrato anual - Fatura nº 2296/2024,Serviços de Consultoria,9795.99€,2023-02-02
Serviço de consultoria fiscal trimestral - Fatura nº 4989/2024,Serviços de Contabilidade,2017.02 €,04.04.2023
Serviço de internet de fibra ótica empresarial 1 Gbps - NOWO (NIF: 6658767049),Telecomunicações,7812.87 €,2023-06-24
mesa de reunião em couro sintético azul para escritório (NIF: 1611898241),Mobiliário e Equipamento de Escritório,4489.13 €,28.06.2023
Consultoria em marketing digital - contrato anual - Cód. X1138,Serviços de Consultoria,3447.86 €,18-03-2023
Scanner Dell Slim para uso profissional - Cód. D1332,Equipamentos Informáticos,1653.10€,23.02.2023
Impressora Dell Max para uso profissional - Ref: I893,Equipamentos Informáticos,7739.03€,09-01-2023
Fornecimento de pacote de agendas para escritório (NIF: 1790377476),Material de Escritório,1186.59€,12/05/2023
Serviço de linha verde empresarial 1 Gbps - NOWO - Cód. J1816,Telecomunicações,2739.61 €,2023-08-31
Fornecimento de energias renováveis para instalações - tarifa tri-horária (EDP) - Ref: X497,Energia e Utilidades,434.02 €,05-05-2023
Manutenção preventiva anual de sistemas elétricos (Período: Jan/2024),Serviços de Manutenção,5946.79€,26.10.2023
Serviço de internet de fibra ótica empresarial 100 Mbps - NOWO - Fatura nº 6266/2024,Telecomunicações,1613.98€,30-05-2023
Serviço de branding para YouTube (Período: Abr/2024),Serviços de Marketing,9743.67€,2023-09-06
Serviço de auditoria de segurança da informação trimestral conforme SOX (Período: Set/2024),Serviços de Auditoria,6847.40 €,20-05-2023
Formação em segurança no trabalho para colaboradores - blended 24 horas - Ref: E452,Formação e Desenvolvimento,7359.50€,02-09-2023
Scanner Asus Slim para uso profissional (Período: Ago/2024),Equipamentos Informáticos,3213.57€,16/10/2023
Licença cloud de QuickBooks Plus (NIF: 6365212648),Licenciamento de Software,8756.38€,27-02-2023
Manutenção corretiva anual de sistemas de segurança - Fatura nº 4762/2024,Serviços de Manutenção,8705.93 €,2023-08-13
Serviço de telefonia fixa empresarial 100 Mbps - NOS - Ref: A907,Telecomunicações,6021.72 €,14-10-2023
Serviço de campanha publicitária para Google Ads - Ref: R846,Serviços de Marketing,3907.72€,13-02-2023
Contratação de seguro de frota automóvel - cobertura básica (Generali) (NIF: 8197595725),Seguros,6222.90€,17.12.2023
Scanner Apple Basic para uso profissional (Período: Jan/2024),Equipamentos Informáticos,6208.40 €,13-07-2023
Serviço de internet de fibra ótica empresarial 1 Gbps - MEO - Cód. G6229,Telecomunicações,7114.83€,23/11/2023
Manutenção preventiva trimestral de equipamentos de escritório - Fatura nº 1843/2024,Serviços de Manutenção,339.49 €,2023-11-28
Serviço de telefonia fixa empresarial 1 Gbps - Vodafone (NIF: 8609257568),Telecomunicações,9026.79 €,25-10-2023
sofá para receção em madeira azul para escritório (NIF: 2958072135),Mobiliário e Equipamento de Escritório,22.17€,05/09/2023
Serviço de auditoria operacional semestral conforme ISO 27001 - Fatura nº 3176/2024,Serviços de Auditoria,421.80€,07-06-2023
Despesa com aluguer de veículos - expresso - Ref: A699,Despesas de Transporte e Logística,9948.67€,2023-11-27
Manutenção preventiva mensal de rede informática - Ref: F407,Serviços de Manutenção,8060.60 €,04/01/2023
Contratação de seguro de acidentes de trabalho - cobertura standard (Allianz) (NIF: 8613937656),Seguros,1121.47 €,29/03/2023
Serviço de processamento de salários trimestral - Ref: G601,Serviços de Contabilidade,4824.65€,26.04.2023
armário de arquivo em plástico azul para escritório - Fatura nº 1216/2024,Mobiliário e Equipamento de Escritório,2236.86 €,2023-11-17
Scanner BenQ Max para uso profissional - Ref: Z758,Equipamentos Informáticos,2685.41€,2023-08-22
Formação em RGPD para colaboradores - online 16 horas - Ref: Y807,Formação e Desenvolvimento,5859.04€,2023-05-17
Consultoria em recursos humanos - contrato anual - Fatura nº 7182/2024,Serviços de Consultoria,2289.41€,04-03-2023
Serviço de VoIP empresariql 200 Mbps - Vodafone - Cód. Q7352,Telecomunicações,7490.15€,24-05-2023
Serviço jurídico de proteção de dados - elaboração de procuração - Fatura nº 9785/2024,Serviços Jurídicos,9824.81 €,16/10/2023
Contratação de seguro de crédito - cobertura básicq (Tranquilidade) - Cód. D4211,Seguros,4041.39€,2023-01-27
Serviço de SEO para Google Ads (Período: Jun/2024),Serviços de Marketing,3425.18€,2023-08-11
Licença cloud de PHC Pro - Fatura nº 1709/2024,Licenciamento de Software,2378.76€,2023-02-17
Portátil BenQ Turbo para uso profissional - Fatura nº 5520/2024,Equipamentos Informáticos,5410.34€,2023-05-12
sofá para receção em madeira castanho para escritório - Ref: T452,Mobiliário e Equipamento de Escritório,937.53€,11.08.2023
Consultoria em compliance - pontual - Ref: L802,Serviços de Consultoria,6848.10€,29.12.2023
Consultoria em gestão - pontual (NIF: 1631627164),Serviços de Consultoria,3824.41€,01.09.2023
Despesa com combustível - urbano (Período: Dez/2024),Despesas de Transporte e Logística,6480.75€,21.02.2023
Licença perpétua de SAP 2023 - Ref: N456,Licenciamento de Software,231.98€,07-02-2023
Formação em RGPD para colaboradores - online 40 horas - Ref: E488,Formação e Desenvolvimento,199.66 €,17-12-2023
Formação em liderança para colaboradores - blended 16 horas (Período: Ago/2024),Formação e Desenvolvimento,7951.81 €,2023-03-14
Imprexsora Logitech Advanced para uso profissional - Cód. V2347,Equipamentos Informáticos,3327.56€,14.11.2023
Formação em liderança para colaboradores - blended 8 horas (Período: Nov/2024),Formação e Desenvolvimento,6840.55€,30-12-2023
Serviço de reconciliação bancária anual - Ref: Z286,Serviços de Contabilidade,7161.63 €,2023-01-13
Serviço de linha verde empresarial 1 Gbps - MEO (NIF: 2316050134),Telecomunicações,3125.68 €,09/08/2023
Contratação de seguro de acidentes de trabalho - cobertura all-risk (Tranquilidade) - Fatura nº 5446/2024,Seguros,6626.70€,23/11/2023
cofre em vidro branco para escritório (Período: Jun/2024),Mobiliário e Equipamento de Escritório,6262.07€,23/07/2023
Fornecimento de gás natural para instalações - tarifa simples (EDP) - Cód. R7820,Energia e Utilidades,4462.21€,28/10/2023
Fornecimento de água para instalações - tarifa bi-horária (EDP) - Fatura nº 1647/2024,Energia e Utilidades,5220.38€,18/10/2023
Fornecimento de eletricidade para instalações - tarifa tri-horária (Endesa) - Fatura nº 1563/2024,Energia e Utilidades,4677.85 €,2023-02-17
Impressora BenQ Ultra para uso profissional - Cód. J7650,Equipamentos Informáticos,1282.09 €,01.06.2023
Serviço jurídico de propriedade intelectual - wlaboração de acordo (NIF: 2408724379),Serviços Jurídicos,5214.74 €,2023-08-18
mesa de reunião em vidro cinza para escritório - Cód. P8629,Mobiliário e Equipamento de Escritório,614.94€,13.06.2023
Formação em Excel avançado para colaboradores - presencial 16 horas - Ref: I577,Formação e Desenvolvimento,1929.81€,23.03.2023
Serviço jurídico de direito laboral - elaboração de parecer - Cód. W8719,Serviços Jurídicos,1461.27€,2023-03-22
Serviço jurídico de resolução de litígios - elaboração de procuração - Ref: G538,Serviços Jurídicos,3810.63€,17/03/2023
Licença por utilizador de AutoCAD Ultimate (NIF: 6968832119),Licenciamento de Software,4208.71 €,15.02.2023
Serviço jurídico de direito laboral - elaboração de acordo - Fatura nº 2388/2024,Serviços Jurídicos,7336.74€,01.04.2023
Contratação de seguro de saúde grupal - cobertura básica (Allianz) (NIF: 2282273078),Seguros,5963.47€,26.12.2023
Licença enterprise de Microsoft Office Enterprise (Período: Set/2024),Licenciamento de Software,9471.99 €,27-07-2023
Fornecimento de conjunto de canetas para escritório (Período: Mar/2024),Material de Escritório,9393.54€,12-03-2023
cofre em metal castanho para escritório - Fatura nº 6362/2024,Mobiliário e Equipamento de Escritório,2336.41€,16/04/2023
Licençs cloud de Adobe Creative Suite Enterprise (NIF: 1454290477),Licenciamento de Software,3851.36 €,25.11.2023
secretária em vidro cinza para escritório - Ref: M566,Mobiliário e Equipamento de Escritório,5431.03 €,17/06/2023
Despesa com manutenção de frota - nacional - Fatura nº 6689/2024,Despesas de Transporte e Logística,1041.45€,08.07.2023
Despesa com seguro automóvel - expresso - Ref: D415,Despesas de Transporte e Logística,5675.14 €,22.05.2023
secretária em plástico castanho para escritório (NIF: 5196452636),Mobiliário e Equipamento de Escritório,3338.21€,30.07.2023
Manutenção preventiva mensal de sistemas elétricos - Ref: F554,Serviços de Manutenção,859.87 €,2023-01-19
Formação em Excel avançado para colaboradores - online 24 horas - Cód. V9467,Formação e Desenvolvimento,363.86 €,22.01.2023
Fornecimento de gás natural para instalações - tarifa bi-horária (Endesa) (NIF: 9261303033),Energia e Utilidades,3480.02 €,2023-05-31
Licença enterprise de Sage 2023 - Fatura nº 3252/2024,Licenciamento de Software,3726.83 €,18/07/2023
Manutenção preditiva trimestral de equipamentos de escritório (Período: Fev/2024),Serviços de Manutenção,3576.76 €,11.08.2023
Serviço jurídico de proteção de dados - elaboração de contrato (NIF: 6564646324),Serviços Jurídicos,353.90€,2023-05-12
Scanner Acer Elite para uso profissional - Ref: Q610,Equipamentos Informáticos,8236.12€,16-08-2023
Contratação de seguro de frota automóvel - cobertura básica (Fidelidade) - Ref: S377,Seguros,2726.25 €,09.03.2023
Serviço de preparação de demonstrações financeiras anual (Período: Ago/2024),Serviços de Contabilidade,965.20 €,24-03-2023
Contratação de seguro de crédito - cobertura standard (Tranquilidade) - Ref: E837,Seguros,1250.60 €,21/12/2023
Manutenção preventiva anual de equipamentos de escritório - Ref: M835,Serviços de Manutenção,418.43 €,02.07.2023
Consultoria em recursos humanos - projeto de 3 meses - Ref: U293,Serviços de Consultoria,9702.76 €,07.04.2023
Formação em competências digitais para colaboradores - blended 16 horas - Fatura nº 8165/2024,Formação e Desenvolvimento,6783.85€,22.12.2023
Serviço jurídico de assessoria contratual - elaboração de contrato (Período: Jun/2024),Serviços Jurídicos,2213.27 €,26/01/2023
Serviço de internet de fibra ótica empresarial 1 Gbps - MEO (Período: Jul/2024),Telecomunicações,6252.54 €,2023-12-23
Despesa com seguro automóvel - expresso - Ref: X225,Despesas de Transporte e Logística,1244.75 €,2023-04-20
Manutenção preventiva semestral de sistemas elétricos - Fatura nº 3407/2024,Serviços de Manutenção,8805.39 €,14.07.2023
Formação em cibersegurança para colaboradores - presencial 24 horas - Cód. X3232,Formação e Desenvolvimento,5644.83 €,13.10.2023
Licença por dispositivo de Sage Plus (Período: Jun/2024),Licenciamento de Software,5135.76€,11.09.2023
sistema de videoconferência em metal castanho para escritório - Cód. D8334,Mobiliário e Equipamento de Escritório,2051.33 €,22/01/2023
Fornecimento de caixa de agendas para escritório - Ref: N828,Material de Escritório,7376.44€,26-01-2023
Manutenção peeventiva trimestral de sistemas de segurança - Ref: X777,Serviços de Manutenção,2186.26€,04-10-2023
projetor em vidro azul para escritório (Período: Ago/2024),Mobiliário e Equipamento de Escritório,6260.43 €,2023-11-18
Serviço de elaboração de relatórios financeiros trimestral - Fatura nº 3811/2024,Serviços de Contabilidade,9608.30 €,02.06.2023
Consultoria em inovação - contrato anual (Período: Abr/2024),Serviços de Consultoria,8127.58 €,04.08.2023
Fornecimento de energias renováveis para instalações - tarifa bi-horária (Goldenergy) - Ref: O920,Energia e Utilidades,2755.62 €,31.07.2023
Serviço de auditoria forense pontual conforme ISO 9001 (Período: Out/2024),Serviços de Auditoria,1745.30€,09-09-2023
Serviço de auditoria de segurança da informação anual conforme ISO 9001 - Cód. Y4095,Serviços de Auditoria,4753.98€,08.04.2023
Contratação de seguro de acidentes de trabalho - cobertura all-risk (Tranquilidade) - Fatura nº 2372/2024,Seguros,5589.44 €,07/11/2023
Fornecimento de pacote de papel A4 para escritório - Ref: Q484,Material de Escritório,3892.70€,15.11.2023
Formação em gestão de conflitos para colaboradores - online 8 horas - Cód. Q8175,Formação e Desenvolvimento,129.44€,22-04-2023
Manutenção corretiva mensal de equipamentos de escritório - Cód. U1184,Serviços de Manutenção,3172.63 €,23-10-2023
Serviço de gestão de redes sociais para Facebook (NIF: 5150337197),Serviços de Marketing,9944.83€,15-08-2023
Consultoria em estratégia empresarial - projeto de 3 meses - Ref: J300,Serviços de Consultoria,6757.71 €,13.02.2023
Licença por dispositivo de Antivírus Corporativo 2023 - Cód. B1314,Licenciamento de Software,6045.29 €,08-12-2023
Fornecimento de energias renováveis para instalações - tarifa tri-horária (Endesa) - Ref: K335,Energia e Utilidades,5598.49€,16.06.2023
Scanner Logitech Ultra para uso profissional (NIF: 6163063567),Equipamentos Informáticos,5920.59 €,10/04/2023
Consultoria em transformação digital - contrato anual (Período: Jun/2024),Serviços de Consultoria,8870.00 €,28-03-2023
Serviço de videoconferência empresarial 100 Mbps - MEO - Ref: N864,Telecomunicações,1142.08€,14-01-2023
Teclado LG Basic para uso profissional (Período: Abr/2024),Equipamentos Informáticos,9684.71 €,2023-02-25
Despesa com combustível - urbano - Fatura nº 4653/2024,Despesas de Transporte e Logística,7639.57 €,22-02-2023
Despesa com transporte de colaboradores - internacional - Cód. L7947,Despesas de Transporte e Logística,9688.94€,2023-10-30
Serviço jurídico de propriedade intelectual - elaboração de parecer - Ref: F612,Serviços Jurídicos,5236.28€,05.03.2023
Fornecimento de pacote de agrafadores para escritório - Fatura nº 9466/2024,Material de Escritório,1718.05€,08-04-2023
Fornecimento de pacote de agendas para escritório - Ref: O425,Material de Escritório,5399.44€,21/03/2023
Contratação de seguro de saúde grupal - cobertura standard (Ageas) - Fatura nº 5743/2024,Seguros,5442.40€,03.08.2023
Licença enterprise de Sage Enterprise (NIF: 8774826098),Licenciamento de Software,8375.79 €,21/10/2023
Formação em competências digitais para colaboradores - online 8 horas - Cód. N2868,Formação e Desenvolvimento,8923.57€,25/12/2023
Contratação de seguro de cibersegurança - cobertura standard (Ageas) - Ref: P698,Seguros,7623.51 €,19/08/2023
Serviço de SEO para Facebook - Fatura nº 6968/2024,Serviços de Marketing,2270.62€,02.05.2023
Contratação de seguro de acidentes de trabalho - cobertura standard (Generali) - Fatura nº 7505/2024,Seguros,7396.36€,27.08.2023
Router Wi-Fi Lenovo Pro para uso profissional (NIF: 1125226866),Equipamentos Informáticos,6160.50 €,05-09-2023
Consultoria em inovação - projeto de 3 meses - Cód. Y2611,Serviços de Consultoria,4976.40€,19-09-2023
Fornecimento de gestão de resíduos para instalações - tarifa simples (Iberdrola) - Fatura nº 1694/2024,Energia e Utilidades,1602.57€,23/11/2023
Switch de Rede Asus Advanced para uso profissional - Ref: K521,Equipamentos Informáticos,7002.78€,09.02.2023
Disco Rígido Externo TP-Link Ultra para uso profissional (Período: Mai/2024),Equipamentos Informáticos,5938.62 €,17.02.2023
Msnutenção preventiva semestral de ar condicionado - Cód. I2993,Serviços de Manutenção,4415.49€,10/11/2023
Despesa com transporte de colaboradores - expresso - Ref: C832,Despesas de Transporte e Logística,8216.73 €,28.12.2023
Licença por dispositivo de SAP 2023 - Fatura nº 4543/2024,Licenciamento de Software,6778.82 €,2023-12-26
Serviço de VoIP empresarial 500 Mbps - MEO (NIF: 5604590438),Telecomunicações,2101.34 €,08.01.2023
Consultoria em gestão de projetos - pontual - Fatura nº 6797/2024,Serviços de Consultoria,6222.52 €,20-06-2023
Serviço jurídico de direito laboral - elaboração de contrato - Ref: I862,Serviços Jurídicos,6831.89€,2023-04-11
Switch de Rede HP Max para uso profissional - Fatura nº 8876/2024,Equipamentos Informáticos,8790.90€,2023-04-27
Licença anual de SAP Plus - Rer: G445,Licenciamento de Software,9539.73 €,30.11.2023
Serviço de campanha publicitária para Instagram - Cód. D8837,Serviços de Marketing,7803.04 €,26/04/2023
Fornecimento de eletricidade para instalações - tarifa simples (Iberdrola) - Ref: D546,Energia e Utilidades,7557.13€,21-10-2023
Contratação de seguro de saúde grupal - cobertura básica (Fidelidade) - Cód. W5432,Seguros,4563.79€,12-09-2023
Contratação de seguro de responsabilidade civil - cobertura all-risk (Tranquilidade) (Período: Jul/2024),Seguros,4282.47 €,2023-08-12
Rato Samsung Advanced para uso profissional - Ref: Y942,Equipamentos Informáticos,9730.76€,2023-03-27
sofá para receção em vidro azul para escritório (Período: Abr/2024),Mobiliário e Equipamento de Escritório,4260.16 €,06/09/2023
Contratação de seguro de saúde grupal - cobertura premium (Ageas) - Ref: B900,Seguros,7532.07€,07.04.2023
Serviço jurídico de direito laboral - elaboração de contrato - Ref: A789,Serviços Jurídicos,8673.78 €,2023-05-30
Consultoria em internacionalização - projeto de 3 meses (Período: Abr/2024),Serviços de Consultoria,9825.90€,06-09-2023
Despesa com portagens - nacional - Cód. D3893,Despesas de Transporte e Logística,8201.92 €,07-10-2023
Despesa com transporte de colaboradores - expresso (Período: Mar/2024),Despesas de Transporte e Logística,2037.36 €,18-12-2023
Seeviço jurídico de fusões e aquisições - elaboração de procuração - Ref: L365,Serviços Jurídicos,2522.50 €,29.11.2023
Fornecimento de água para instalações - tarifa bi-horária (Iberdrola) - Ref: Y340,Energia e Utilidades,3784.84 €,31/07/2023
Fornecimento de gás natural para instalações - tarifa simples (Iberdrola) - Fatura nº 7128/2024,Energia e Utilidades,5980.23 €,2023-12-04
Contratação de seguro de cibersegurança - cobertura all-risk (Tranquikidade) (Período: Mai/2024),Seguros,3695.54€,06/06/2023
mesa de reunião em couro sintético cinza para escritório (Período: Jan/2024),Mobiliário e Equipamento de Escritório,6477.79€,09/11/2023
Serviço de email marketing para LinkedIn (NIF: 5630121677),Serviços de Marketing,4699.04€,2023-07-06
Serviço de auditoria interna pontual conforme ISO 9001 (Período: Set/2024),Serviços de Auditoria,5894.51 €,2023-10-16
Serviço de design gráfico para Facebook - Fatura nº 9131/2024,Serviços de Marketing,1137.88€,16/11/2023
Fornecimento de eletricidade para instalações - tarifa bi-horária (Goldenergy) (Período: Ago/2024),Energia e Utilidades,369.92€,30.06.2023
armário de arquivo em metal castanho para escritório (NIF: 8795467327),Mobiliário e Equipamento de Escritório,1849.26 €,23/06/2023
Monitor Logitech Advanced para uso profissional (Período: Jun/2024),Equipamentos Informáticos,9584.42€,03.01.2023
Despesa com transporte de colaboradores - económico - Ref: K323,Despesas de Transporte e Logística,6016.43€,27/07/2023
Consultoria em transformação digital - projeto de 3 meses (NIF: 6910225664),Serviços de Consultoria,6295.68 €,16-06-2023
Serviço de centralita virtual empresarial 500 Mbps - MEO (Período: Dez/2024),Telecomunicações,1044.93€,22-04-2023
Fornecimento de água para instalações - tarifa simples (Goldenergy) (NIF: 1893209540),Energia e Utilidades,3145.88 €,2023-01-16
Serviço de organização de eventos para TikTok - Cód. S8604,Serviços de Marketing,4603.33€,2023-12-06
Serviço de preparação de IES trimestral - Fatura nº 3051/2024,Serviços de Contabilidade,2752.08 €,25.10.2023
Serviço de centralita virtual empresarial 500 Mbps - NOWO (NIF: 1135792108),Telecomunicações,7802.41 €,08/04/2023
sistema de videoconferência em couro sintético castanho para escritório - Ref: S524,Mobiliário e Equipamento de Escritório,8365.69 €,2023-03-18
Serviço jurídico de proteção de dados - elaboração de procuração - Cód. H8928,Serviços Jurídicos,1052.65€,24-03-2023
Rato LG Advanced para uso profissional - Ref: C835,Equipamentos Informáticos,9587.55 €,2023-10-08
Manutenção corretiva semestral de veículos da empresa (Período: Jun/2024),Serviços de Manutenção,8344.96 €,02-06-2023
Licença por utilizador de QuickBooks Ultimate (NIF: 1589929069),Licenciamento de Software,7696.42€,2023-03-23
Consultoria em marketing digital - contrato anual (Período: Jul/2024),Serviços de Consultoria,9680.64€,25-05-2023
Serviço de auditoria de sistemas semestral conforme ISO 9001 - Cód. H7544,Serviços de Auditoria,4511.00 €,29-12-2023
sofá para receção em metal cinza para escritório (Período: Jun/2024),Mobiliário e Equipamento de Escritório,3438.47 €,24/10/2023
Consultoria em gestão - contrato anual - Fatura nº 2453/2024,Serviços de Consultoria,4929.33 €,2023-06-16
Serviço de design gráfico para Google Ads (NIF: 6783474284),Serviços de Marketing,6437.82 €,2023-06-09
Manutenção preditiva anual de sistemas elétricos (Período: Set/2024),Serviços de Manutenção,1345.40 €,17/01/2023
Serviço de auditoria de qualidade anual conforme RGPD - Cód. D5609,Serviços de Auditoria,2611.27€,2023-09-23
Licença por utilizador de Salesforce Ultimate - Fatura nº 9997/2024,Licenciamento de Software,1470.12€,17.12.2023
Contratação de seguro de saúde grupal - cobertura standard (Allianz) - Cód. P9678,Seguros,2946.26 €,11.07.2023
Serviço de auditoria forense trimestral conforme RGPD - Cód. O8638,Serviços de Auditoria,1618.31€,2023-11-27
Manutenção preventiva trimestral de elevadores - Ref: I336,Serviços de Manutenção,3374.57 €,19-03-2023
Despesa com transporte de colaboradores - económico (Período: Abr/2024),Despesas de Transporte e Logística,1441.13 €,2023-02-12
Formação em segurança no trabalho para colaboradores - blended 24 horas (NIF: 6237243186),Formação e Desenvolvimento,9836.48 €,2023-06-23
Serviço de preparação de demonstrações financeiras anual (NIF: 8869376240),Serviços de Contabilidade,1919.32 €,29/08/2023
Contratação de seguro de responsabilidade civil - cobertura all-risk (Tranquilidade) - Fatura nº 9270/2024,Seguros,9689.74€,18.10.2023
Serviço de produção de vídeo para Instagram - Fatura nº 9037/2024,Serviços de Marketing,4306.46 €,2023-12-24
Serviço de gestão de redes sociais çara TikTok - Fatura nº 7856/2024,Serviços de Marketing,6311.30€,08.05.2023
Serviço de preparação de demonstrações financeiras mensal - Cód. D4748,Serviços de Contabilidade,1474.57€,21/09/2023
Formação em competências digitais para colaboradores - online 40 horas - Fatura nº 4522/2024,Formação e Desenvolvimento,4782.04 €,2023-09-09
Portátil D-Link Advanced çara uso profissional (NIF: 6749082683),Equipamentos Informáticos,7290.87 €,11/02/2023
Manutenção corretiva semestral de sistemas de climatização (NIF: 2191303244),Serviços de Manutenção,832.21€,2023-12-05
Despesa com transporte de colaboradores - internacional - Cód. J6389,Despesas de Transporte e Logística,8506.61€,31/01/2023
Serviço de consultoria fiscal trimestral (Período: Ago/2024),Serviços de Contabilidade,9553.20 €,25.03.2023
Contratação de seguro multirriscos - cobertura premium (Ageas) (Período: Fev/2024),Seguros,659.22€,28/03/2023
Fornecimento de água para instalações - tarifa tri-horária (Endesa) (NIF: 6491933127),Energia e Utilidades,2390.65€,20.04.2023
Consultoria em internacionalização - pontual (NIF: 5371002909),Serviços de Consultoria,5221.85 €,2023-01-28
